"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
88655,55725,1611,11025,1441,5359,1566,1820,1535,1790,1565,6705,1524,5557,6882,1410,3285,1179,1180,1180,1419,1179,1179,1399,1179,1179,1179,1183,1948,1923,1186,1179,1179,1977,1180,2295
99112,55001,1523,4149,1186,4456,1450,2295,1201,1827,1277,8433,1396,4882,6800,1347,2074,1179,2231,1180,1530,1179,1179,1179,1179,1179,1179,2064,2274,2298,1181,1181,1179,1181,1180,2296
86390,58190,1803,6403,1139,3248,2365,2403,1718,2429,1380,9545,1572,3587,6969,1345,2674,1179,1180,1180,1456,1179,1179,1490,1179,1179,1179,1183,1913,1209,1186,1179,1243,1992,1180,2297
98850,58385,2180,17245,1390,3052,1830,2339,1265,2283,1461,5743,1528,3547,10898,1354,2832,1179,1179,1788,1342,1179,1179,1179,1179,1179,1179,1736,1827,1181,1179,1179,1179,1917,1180,2298
90536,66015,1766,14735,1083,4425,1506,3393,1505,2023,1511,6765,1259,3964,4515,1243,831,1179,1179,1191,1395,1179,1179,1377,1179,1179,1179,1766,1911,1183,1180,1179,1181,1967,1180,2299
87496,74700,1426,10440,1327,2441,1454,3064,1442,1561,1410,6368,1449,2606,5438,1305,2391,1179,1179,1179,1468,1179,1179,1467,1179,1179,1179,1179,2117,1487,1179,1179,1184,2222,1180,2300
96149,91730,1413,7882,1389,5625,1380,3911,799,1967,1502,13049,1314,5517,6597,1488,5078,1179,1180,1179,1388,1179,1179,1419,1179,1179,1179,1711,1885,1182,1180,1179,1179,1879,1180,2301
92135,43763,1570,8268,989,3149,2739,1528,1305,1644,1243,6998,1320,3356,3491,1377,1895,1179,1179,1993,1179,1179,1179,1179,1179,1179,1179,1409,1859,1855,1183,1179,1772,1183,1180,2302
87386,53112,1408,8442,1209,2864,1567,1989,1032,1725,1188,8265,1085,3203,5296,1389,2259,1180,1179,1179,1391,1179,1179,1391,1179,1179,1179,1179,1874,1831,1179,1181,1179,1899,1180,2303
86581,59197,1794,11026,1245,4117,1873,2824,1408,2421,1535,6248,1792,4042,10912,1398,1595,1179,1179,1180,1335,1179,1179,1337,1179,1179,1179,1837,1809,1905,1185,1180,1183,2002,1180,2304
