"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
96383,61724,1979,18774,2903,3654,1620,2526,1280,1551,1573,9894,1643,5153,4573,1389,2404,1179,1183,1179,1179,1179,1179,1800,1179,1179,1179,1179,2498,1179,1179,1179,1180,2579,1179,1654
87000,70782,1369,3281,1547,4558,1290,1662,1074,2984,1431,12362,1174,6022,3184,1326,2681,1179,1180,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1655
109660,54383,1454,4890,3191,7908,1185,2687,1461,2501,1522,15606,1780,11596,2959,1335,1938,1179,2266,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2070,1179,1179,2275,1179,1656
93222,75754,1314,3933,3460,6824,1215,1180,1277,2988,1431,18394,1283,9982,8310,1340,2826,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1934,1180,1179,1179,1179,1182,1936,1179,1657
89641,60266,1870,23708,2521,4256,1330,1429,1025,1773,1470,6515,1414,7044,11266,1407,2822,1179,1179,1179,1179,1179,1179,1611,1180,1179,1179,1179,2211,1180,1179,1179,1286,2680,1180,1658
92930,57688,1467,15653,2213,3663,1435,1695,2364,1805,1383,8005,1422,5242,10988,1339,2481,1179,1179,2244,1349,1179,1179,1415,1179,1179,1179,1179,1180,1928,1267,1390,1179,2278,1179,1659
73310,33824,9675,3950,1289,3073,1229,1463,1220,1309,1300,9751,1645,3490,3423,1260,1725,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1179,1179,1179,1179,1660
89989,36737,1718,13009,1840,3040,2075,1563,1222,1363,1272,6185,1442,4052,9116,1326,1816,1179,1179,1179,1413,1179,1179,1386,1179,1179,1179,1179,1180,1179,2068,1180,1179,2129,1179,1661
85480,55880,1695,18742,2440,6005,1382,1394,1160,1932,1212,5120,1113,7849,8950,1393,2014,1179,1179,1179,1179,1179,1179,1595,1179,1179,1179,1179,1179,1179,1179,1179,1180,2073,1179,1662
88291,72250,1299,3344,2761,6247,1202,1443,918,3010,1499,14358,1272,11008,10142,1350,1699,1179,1179,1179,1179,1179,1179,2014,1179,1179,1179,1179,1179,1179,1179,1179,1180,2388,1179,1663
83563,68887,1934,26374,1475,4585,1437,2404,1134,2081,1501,7816,1729,5743,7706,1312,2146,1179,1179,1179,1179,1179,1179,1585,1179,1179,1179,1179,1890,1772,1179,1622,1253,2416,1180,1664
90924,66547,1472,15199,1993,6152,1310,1674,1017,2045,1323,10369,1162,10160,5857,1416,3344,1179,1180,1179,1388,1179,1179,1470,1179,1179,1179,1179,1779,1763,1600,1318,1179,2091,1180,1665
90026,60244,1333,3007,2898,5908,1197,1329,1463,3260,1367,15221,1215,8616,2857,1378,2324,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1835,1179,1180,1180,2168,1179,1666
111483,73724,1544,3184,7747,4665,1278,15794,1621,2547,1518,10201,1774,7088,8550,1359,1331,2292,2129,1179,1179,1179,1179,1179,1179,1179,1179,1179,1841,1179,2586,1724,1179,1179,1179,1667
97769,61772,1256,3759,2803,5877,1270,1322,1188,3832,1339,11849,1021,9809,8208,1363,2119,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2178,1179,1179,2279,1179,1668
97077,44692,1431,4311,2196,8908,1349,1111,1439,1696,1423,12580,1730,10690,3295,1285,2197,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2131,1179,1179,1904,1179,1669
87845,65744,1360,4597,3097,7993,1267,1462,1696,4379,1458,14404,1408,11785,11848,1445,2325,1179,1180,1179,1179,1179,1180,1179,1179,1179,1179,1179,1179,1179,2180,1179,1179,1897,1179,1670
92222,55290,5289,1177,1175,1059,1793,3356,1090,1184,1265,1264,5460,1052,1278,1234,1032,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2054,2049,1179,1179,1422,2736,1179,1671
73187,37219,2392,5709,2244,6420,1267,1288,1482,1405,1264,7158,1468,8080,7324,1341,1826,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1672
94226,61582,2060,2826,2564,5774,1607,1238,931,2369,1399,15175,1195,8179,5326,1311,2756,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2229,1180,1181,1179,1179,1179,1179,1673
95953,43696,2114,9940,1265,3205,2221,3598,1338,1312,1372,6651,1274,6174,3092,1375,1668,1179,1179,1179,1330,1179,1179,1362,1179,1179,1179,1179,1179,1179,2253,1179,1424,1849,1179,1674
104442,51986,2288,16934,3157,4296,1451,2367,1837,1525,1449,8379,1698,7287,7612,1358,1904,1179,1179,1179,1179,1179,1179,1741,1179,1179,1179,1179,1179,1179,1179,1179,1904,1180,1179,1675
92135,43537,8411,2915,2630,8720,1208,1264,1119,1357,1395,11923,1774,11241,4093,1334,2355,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1885,1179,1179,1179,1676
102481,57719,1505,14392,2053,3686,1636,2341,1296,1891,1666,9409,1612,6342,10786,1420,1678,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1921,1903,1179,1179,1179,2461,1180,1677
75989,64044,3866,10397,1456,3993,1938,1480,1220,1452,1330,6327,1458,7356,6821,1423,2048,1179,1179,1179,1364,1179,1179,1179,1179,1179,1179,1179,1594,1179,1179,1623,1179,1788,1179,1678
89830,47363,1334,8214,1655,4208,1125,1175,1338,2553,1286,8453,1636,5521,16689,1422,1976,1179,1180,1179,1392,1179,1179,1276,1179,1179,1179,1179,1667,1738,1799,1696,1179,1179,1179,1679
88199,36476,3981,3612,3225,7133,1183,1167,2172,1421,1316,9957,2798,8914,4813,1323,2478,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1910,1179,1179,1179,1179,1680
90548,54460,1793,16028,1532,2060,1519,2645,1478,1719,1507,10805,1805,3843,4968,1344,983,1179,1179,1179,1388,1179,1179,1462,1179,1179,1179,2033,1906,1184,1180,1179,1179,2340,1179,1681
79775,51889,1299,20165,1397,2503,1352,2229,1198,1770,1434,7090,1204,3533,8114,1337,2160,1179,1179,1180,1435,1179,1179,1462,1179,1179,1179,1179,1931,1179,1179,1179,1179,2230,1180,1682
86577,43210,2310,9772,1709,3360,1799,1380,1285,1455,1362,7711,1486,5155,6169,1303,1752,1251,1179,1179,1494,1179,1179,1179,1179,1179,1179,1179,1179,1956,1295,1179,1179,1179,1179,1683
77250,41093,2183,11122,2033,3025,1274,1281,1418,1336,1318,4670,1574,4658,5466,1301,2012,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1684
88814,52308,2485,20112,1896,3655,1624,2524,2135,1577,1411,8337,1488,5548,12326,1446,1913,1179,2530,1179,1340,1179,1179,1390,1179,1179,1179,2154,1801,1179,1179,1179,1179,2393,1180,1685
95027,46117,2353,13512,1711,3485,1550,2628,1731,1921,1517,8912,1274,5930,9352,1362,2392,1179,1179,1179,1361,1179,1179,1411,1179,1179,1179,1179,1819,1724,1179,1179,1179,2096,1179,1686
92545,73473,1461,18536,2331,3731,1510,1908,1397,1590,1522,9250,1198,7580,3451,1259,1586,1179,1179,2220,1418,1179,1179,1597,1179,1179,1179,1179,1179,1179,1179,1179,1179,2202,1179,1687
74311,57526,1318,3661,1605,4007,1519,2295,1411,2014,1477,11480,1261,6563,2875,1391,2468,1179,1179,1179,1179,1179,1179,1182,1179,1179,1179,1179,1179,1179,2174,1637,1179,1911,1180,1688
103435,47903,1352,3669,3498,6566,1276,1137,1101,2595,1421,12290,1561,10467,3600,1295,1639,2342,1180,1179,1179,1179,1179,1183,1179,1179,1179,1179,1183,1657,1179,1179,1179,2337,1179,1689
111725,63831,1374,12101,2459,4148,2056,2168,918,1358,1595,12304,1217,7798,9447,1443,2134,1179,1179,1414,1307,1179,1179,1342,1179,1179,1179,1179,1600,1179,1600,1636,1179,1907,1179,1690
101059,56542,1902,2798,2414,10402,1237,1399,776,2696,1406,14513,1125,12735,2927,1343,2153,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1201,1179,1179,1691
86676,49083,2729,11723,1765,4668,1855,1673,1529,1326,1388,8159,1389,6642,6358,1350,2353,1179,1179,1179,1470,1179,1179,1602,1179,1179,1179,1179,1893,1180,1179,1818,1179,2436,1179,1692
83051,44185,1964,11418,1574,3088,1674,2073,1515,1554,1397,6926,1484,5128,8648,1364,1784,1179,1179,1179,1179,1179,1179,1368,1179,1179,1179,2081,1180,1816,1179,1179,1179,1927,1180,1693
100611,77213,1328,3111,5087,5596,1263,1286,1021,4765,1400,10342,1344,8978,3087,1435,2693,2273,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1182,1179,1179,1179,1255,2047,1179,1694
84038,45180,2208,1304,2399,3431,2153,1364,3256,1246,1434,12742,1715,5430,3430,1344,1462,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,2030,1511,1778,1947,1179,1179,1695
90194,43904,4725,5567,1578,6486,1063,1954,1465,1406,1307,8599,2647,8818,6756,1309,738,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1696
76591,68477,1471,8737,1693,3406,1819,2271,1684,1642,1528,7562,1543,5455,8829,1319,2548,1179,1179,1179,1308,1816,1179,1327,1179,1179,1179,1179,1690,1752,1180,1179,1179,2092,1180,1697
112666,61798,2605,10494,1749,3352,2236,1251,1189,1833,1502,9590,1347,5818,9562,1433,1899,1179,1399,1179,1406,1179,1179,1451,1179,1179,1179,1179,1859,1180,1179,1179,1179,2459,1180,1698
97321,57494,1297,3771,2739,4302,1196,1947,2580,2837,1360,12447,1237,9797,9412,1338,2093,1179,3009,1179,1179,1179,1179,1690,1179,1179,1179,1179,2130,1179,1179,1179,1180,3205,1179,1699
90926,54422,1606,15989,2062,3708,1759,2369,1440,1804,1514,9809,1276,6181,8272,1407,1899,1179,1180,1179,1367,1179,1179,1438,1179,1179,1179,1179,1758,1179,2416,1179,1179,2230,1179,1700
87651,48443,6120,22601,2651,3892,1242,1552,1798,1522,1399,8424,1840,5230,5118,1332,1438,1179,1179,1179,1179,1179,1179,1416,1179,1179,1179,1179,1179,1774,1179,1179,1179,1963,1179,1701
93126,48958,1603,19001,2174,3877,1649,2187,1863,2007,1604,5972,1821,5336,7722,1431,2687,1179,1179,1806,1179,1179,1179,1367,1179,1179,1179,1179,1682,1768,1179,1179,1179,2071,1180,1702
101807,70732,2399,24357,3919,6525,1451,2826,1763,1685,1691,9642,1940,10101,8128,1505,2526,1179,1179,1179,1383,1179,1179,1401,1179,1179,1179,1179,1179,1179,1179,1531,1179,1764,1179,1703
94068,55292,2098,17072,1867,3224,1604,3342,1445,1877,1517,6996,1125,6191,7527,1345,2280,1179,2342,1179,1179,1179,1179,1620,1179,1179,1179,1179,1917,1179,1179,1823,1179,2348,1180,1704
106528,54395,2472,18329,1231,6055,2175,2419,1276,1498,1493,12422,1431,8188,4781,1333,2245,1179,1179,1179,1403,1179,1179,1473,1179,1179,1179,1179,1179,1179,1179,1712,1179,1998,1179,1705
96985,48962,9684,5046,7288,2617,2502,1813,2222,1589,1454,4991,3518,5735,7159,1323,2172,1179,1179,1179,1179,1179,1179,1420,1179,1179,1179,1179,1179,1692,1179,1179,1605,1179,1179,1706
90734,63084,1908,23793,2113,2645,1675,3394,1472,2272,1566,8015,1767,5555,12611,1401,2933,1179,1179,1179,1389,1179,1179,1506,1179,1179,1179,1179,1902,1179,1179,1895,1179,2476,1179,1707
77092,49094,1840,2957,3676,6625,1562,1575,1032,1284,1357,10918,1398,8957,3252,1292,1323,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1708
83611,55388,2275,7173,1795,7931,1963,2226,1500,1521,1446,6569,2863,9955,5328,1304,1971,1179,1179,1179,1293,1179,1179,1313,1179,1179,1179,1179,1179,1179,1966,1519,1179,1729,1179,1709
83263,51745,1214,1856,1504,2737,1747,1215,2808,1569,1351,7478,1353,5121,6190,1329,3767,1179,1179,1179,1549,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1697,1179,1179,1710
76983,35533,1738,7219,1888,3139,1615,1175,1431,1291,1333,6367,1656,6856,5174,1289,1603,1179,1180,1179,1179,1179,1179,1708,1179,1179,1179,1179,1179,1179,1179,1179,1230,2331,1179,1711
97539,59070,1583,8558,5214,6578,1229,1703,2377,2722,1447,14792,1013,11247,7243,1359,2191,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1806,1180,2131,1179,1179,1179,1179,1712
86792,49689,1950,14575,1200,4250,1543,1271,1186,1589,1278,10330,1342,6570,3899,1338,3326,1179,1192,2043,1386,1179,1179,1461,1179,1179,1179,1179,1913,1179,1179,1179,1179,2414,1180,1713
84061,38376,10188,3588,1945,8193,1205,1115,1093,1450,1307,8063,2080,10369,5185,1253,2071,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1685,1179,1569,1668,1179,1179,1714
90733,61305,1770,7935,1901,4173,1885,2854,1378,1561,1567,7925,1458,5774,9171,1375,2548,1179,2092,1179,1365,1179,1179,1401,1179,1179,1179,1179,1180,1179,1984,1180,1179,1904,1179,1715
86915,43336,7930,15573,2949,6640,1245,1620,983,1475,1341,9574,2669,7934,6103,1334,1406,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1931,1924,1179,1716
94437,58204,1956,23599,1652,5055,1677,2089,1213,1664,1547,9651,1326,8686,8889,1411,2042,1179,1179,1179,1394,1179,1179,1473,1179,1179,1179,1181,1875,1785,1179,1179,1179,2258,1179,1717
89639,51034,5031,2897,1144,4524,1238,1225,1301,1416,1292,10581,3567,11056,3121,1278,2557,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2210,1179,1718
80791,65842,1345,33770,2273,3680,1602,2639,1481,1970,1425,11798,1960,7451,16681,1513,2514,1179,1179,1179,1179,1179,1179,1647,1179,1179,1179,1179,2008,1180,1937,1179,1329,2548,1179,1719
101598,72020,1359,3154,3660,8780,1318,1350,1080,2615,1369,13333,1327,13500,17002,1479,2032,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1720
89915,40228,1667,7322,2868,9178,1978,1196,2463,1398,1392,12579,1251,11958,4400,1241,2436,1179,1179,1847,1179,1179,1179,1179,1179,1179,1179,1179,1179,1610,1179,1179,1538,1760,1179,1721
104099,51237,1802,7825,1678,4512,1678,1785,1350,1513,1301,8717,1333,6732,11733,1366,1889,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1941,1179,1722
98943,85552,3126,1433,1261,6071,2542,6294,2902,1357,1277,1129,1890,8567,3353,11624,2142,1179,2778,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2493,1180,1179,1723
97033,55518,1386,2766,2592,6273,1581,1341,1503,2033,1482,15698,1605,9085,3845,1346,3348,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1392,1743,1765,1179,1724
130183,71603,1483,5128,5319,5463,1496,1540,2167,3443,1597,13303,1290,10128,5514,1387,2416,1179,1438,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1677,1730,1179,1179,1792,1179,1725
86161,39188,4856,2903,1269,5476,1160,1037,997,1291,1208,9341,2681,8212,3630,1265,1539,1179,1777,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,2149,1179,1934,1179,1179,1726
94455,57876,2028,16576,1746,4539,1507,2556,1863,2013,1691,11758,1573,6244,9799,1376,3149,1179,1179,1179,1414,1179,1179,1428,1179,1179,1179,1179,1747,1179,1179,1647,1179,1993,1179,1727
80839,51686,3796,1252,7151,3038,1282,1341,2990,1390,1333,9079,1548,4335,3514,1273,1151,1798,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1758,1506,1179,1715,1179,1728
79654,44109,2625,4630,5869,2097,1172,1619,3672,1301,1250,4532,1878,3198,6467,1357,1616,1179,1179,1179,1179,1179,1179,1724,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1729
107461,58087,1316,3759,2586,10642,1245,1349,911,4092,1414,15256,1146,15257,10539,1398,2519,1594,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1644,1179,1179,1179,1179,1179,1730
95554,60347,1611,26890,1848,4031,1652,3170,2040,1853,1669,11528,1531,5798,5496,1482,3820,1179,1179,2215,1179,1179,1179,1496,1179,1179,1179,1179,1771,1871,1179,1179,1181,2348,1180,1731
88819,53743,1755,11377,1370,2882,1887,2795,1362,2114,1441,7888,1351,4509,4352,1288,1488,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,1732
90166,52391,1428,13090,2678,5314,2419,1749,1127,1712,1500,7070,1180,6881,7347,1384,2092,1180,1179,1179,1179,1179,1179,1589,1179,1179,1179,1179,1179,1180,1179,1179,1179,2022,1179,1733
86725,47115,4100,4854,1738,3605,1648,2127,1405,1438,1338,6621,1483,5535,5591,1386,1093,1179,1179,1179,1339,1179,1179,1367,1179,1179,1179,1646,1179,1703,1179,1179,1179,1781,1179,1734
82363,71733,1598,5707,1671,7361,1575,1785,861,1842,1416,9359,1233,10576,4288,1293,3327,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,2298,1180,1735
154186,97075,11010,1235,1646,3999,2072,56840,2514,1934,1645,1846,2188,5066,3355,4628,3152,1179,1984,1493,1179,1179,1179,1179,1179,1179,1179,1881,1179,1180,2094,1179,1185,1179,1179,1736
76153,64656,1473,3241,1810,2356,1328,2053,1132,3311,1518,13248,1533,8504,3015,1344,2483,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1180,1179,1180,1179,1737
101781,56062,1744,3731,2684,5828,1190,1001,1207,2248,1308,12396,1290,10561,3926,1329,1725,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1536,1179,1179,1180,1738
99809,52122,1395,9640,1175,3631,1394,1613,1552,2037,1327,7294,1218,5897,7486,1349,1120,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,1179,1184,1179,1179,1181,1187,1179,1739
91204,69203,1695,24660,577,4802,1835,1740,1839,1503,1491,9421,1537,7763,4480,1457,2695,1179,1179,1179,1179,1179,1179,1555,1179,1179,1179,1179,1750,1179,1179,1179,1179,2120,1180,1740
101729,57661,1605,27043,2439,3290,1901,1689,1392,1539,1494,9064,1431,5043,5829,1376,1749,1179,1960,1179,1268,1626,1179,1272,1179,1179,1179,1792,1179,1179,2122,1185,1179,1787,1180,1741
79442,45574,1326,1254,2174,4468,1296,2143,2936,1328,1251,8308,1088,5178,6037,1296,1520,1712,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1524,1619,1179,1179,1180,1179,1742
102840,58966,1240,4309,3154,3022,1662,1926,1580,4634,1368,10457,1310,6788,3279,1330,1180,1935,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1234,2309,1619,1179,2184,1179,1743
109345,81866,1306,2835,1926,5314,1282,1117,1149,3350,1451,15404,1377,9842,3013,1345,3798,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1744
91435,55987,1396,2705,1726,4135,1466,1104,2793,2865,1393,9942,1415,6208,6306,1385,2752,1179,1179,1532,1179,1179,1179,1179,1179,1179,1179,1179,1645,1179,1973,1179,1179,1998,1179,1745
110720,52939,1848,13878,2916,3645,1227,1467,2040,1965,1407,8143,1398,6151,5382,1356,1679,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,1835,1699,1179,1179,1180,2257,1179,1746
88598,51900,1187,2915,1435,4525,1142,1363,1206,2633,1320,9853,1433,6136,5063,1248,4794,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1660,1922,1179,1757,1180,1179,1747
95570,56586,1675,17531,2390,3492,1782,2082,1181,1924,1379,7579,1339,6511,4830,1365,1745,1179,1179,1194,1309,1179,1179,1350,1179,1179,1179,1762,1542,1179,1179,1495,1179,1789,1180,1748
97581,55385,1261,8089,1382,3098,1479,1369,922,2591,1320,11191,1063,6575,4078,1456,2820,1179,2132,1179,1179,1179,1179,1179,1179,1179,1179,1179,1858,1180,1179,1793,1179,2164,1179,1749
81354,38259,8289,3036,2373,8755,1185,1323,688,1329,1290,9754,2899,11828,3791,1236,1852,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1750
89907,56427,1510,17076,2189,3230,1481,2954,1527,1983,1497,8053,1748,6468,8713,1421,1738,1179,1179,1988,1454,1179,1179,1488,1179,1179,1179,1179,1180,1179,1179,1227,1179,1934,1180,1751
75063,38434,6176,4180,1720,3695,1158,1414,1219,1357,1291,8104,2194,5182,5633,1345,1479,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1179,1179,1444,1559,1512,1180,1752
96057,61305,1582,22346,2534,3576,1354,4462,1276,1978,1486,8392,1164,5396,4574,1379,2105,1179,1179,1179,1179,1179,1179,1334,1179,1179,1179,1179,1179,1721,1179,1634,1179,1746,1180,1753
97021,80709,1496,27274,2328,4252,2806,3384,1735,2280,1528,9597,1430,5823,8548,1368,6363,1179,1179,1179,1408,1179,1179,1447,1179,1179,1179,1179,1912,1179,1179,1358,1180,2286,1179,1754
101738,65757,1451,4120,1355,4392,1177,2211,1078,2839,1387,14633,1145,7356,12335,1375,3267,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1987,1231,1179,1179,2102,1179,1755
88226,54143,1783,16565,3133,3471,2554,2206,1646,1845,1560,9544,1648,6987,11117,1347,2286,1179,1179,1179,1322,1179,1179,1293,1179,1179,1179,1182,1377,1181,2295,1179,1179,1838,1180,1756
81566,48832,5207,3795,1357,5503,1247,1698,1502,1338,1344,11576,1989,9449,3339,1336,1687,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1428,1179,1179,1757
95036,54361,1412,16902,1829,3896,2028,1585,1278,1376,1348,7513,1075,7042,4281,1395,1489,1179,1179,1179,1540,1179,1179,1702,1179,1179,1179,1179,1180,1179,1180,1193,1180,2339,1179,1758
107015,50357,1970,20033,1282,4265,1719,1326,1265,1569,1355,6263,1246,6000,5055,1381,1684,1179,1179,1603,1271,1179,1179,1306,1179,1179,1179,1179,1179,1396,1179,1179,1723,1720,1179,1759
87595,89704,2081,25402,1200,1917,1729,3178,1421,2021,1730,7336,1677,3146,10321,1410,2738,1179,1179,1179,1368,1179,1179,1375,1179,1179,1179,1179,1832,1183,1179,1179,1179,2025,1180,1760
94465,54746,1360,3063,5832,5115,1276,1103,3338,2757,1357,13730,1595,7566,7328,1363,2216,1179,1722,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1767,1760,1179,1761
100211,56466,1630,2732,4045,2679,1763,1431,6055,1343,1353,9198,1117,5221,5391,1418,1731,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1581,1180,1517,1179,1459,1181,1682,1179,1762
98086,70359,1380,5537,1740,2718,1713,4739,1305,2053,1586,7208,1533,4133,7646,1371,2193,1179,1179,1676,1330,1179,1179,1369,1179,1179,1179,1644,1461,1179,1181,1180,1179,1650,1180,1763
122675,139428,4089,1503,1518,2672,2201,69403,3632,2417,5885,2983,4354,1857,1649,1414,3726,1179,1179,1216,1299,1179,1179,1305,1179,1179,1179,1179,1347,1181,1179,1563,1264,1674,1179,1764
86127,53432,1211,3408,4196,5998,1187,1576,1220,3632,1305,12382,1200,8732,18017,1414,1688,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1922,1179,1179,1666,1179,1765
87948,54767,2229,18145,1787,3715,2329,1983,1223,1632,1466,6191,1505,4976,4111,1378,2257,1180,1179,1179,1433,1179,1179,1497,1179,1179,1179,1179,1179,1179,1179,1971,1179,2541,1179,1766
88747,48844,1643,19446,1693,3190,1869,1668,1217,1417,1348,8864,1680,7797,6704,1394,2597,1179,1179,1179,1312,1179,1179,1179,1179,1179,1179,1180,1704,1179,1179,1651,1179,2014,1180,1767
75304,54756,1875,12883,2467,2434,2637,1835,1414,1447,1593,7900,1381,4693,5732,1356,2376,1179,1179,1179,1306,1179,1179,1281,1179,1179,1179,1179,1180,1648,1179,1509,1179,1747,1180,1768
88378,56210,2634,12286,1707,5313,1808,3059,1552,1698,1459,9790,1664,10013,4620,1463,2370,1179,1179,1179,1313,1179,1179,1324,1179,1179,1179,1179,1179,1179,1187,1599,1179,1685,1179,1769
88505,49260,2227,6750,1746,4269,1294,1821,1651,1549,1480,9677,1503,7023,10032,1292,3333,1179,1179,1179,1179,1179,1179,1701,1179,1179,1179,1179,1180,1179,1179,1179,1179,2559,1179,1770
88013,63993,1404,16792,2228,3028,1416,1975,1379,1810,1491,10592,1854,9824,13362,1377,1421,1179,1179,1179,1254,1179,1179,1263,1179,1179,1179,1179,1442,1179,1914,1491,1179,1633,1179,1771
97233,60174,1512,3845,1560,7174,1666,1241,720,2423,1401,13848,1225,10301,4684,1412,2874,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2145,1179,1179,1543,2372,1179,1772
86831,49054,1710,15979,1709,5080,1507,1729,1220,1543,1405,7029,1522,8758,16412,1384,2049,1179,2622,1179,1391,1179,1179,1444,1179,1179,1179,1179,1180,1179,1179,2153,1179,2565,1179,1773
95798,54509,1360,23637,1580,3705,1941,1730,1199,2048,1341,9340,1421,6114,11029,1466,1881,1179,1179,1179,1436,1179,1179,1518,1179,1179,1179,1179,2101,1476,1235,1179,1187,2355,1179,1774
87149,37963,8929,6022,1430,3882,1120,1454,1019,1249,1244,7713,2123,6255,5028,1282,951,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1775
