"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
84524,56565,1453,6740,5810,9708,1204,1392,4402,2479,1432,15035,1498,9184,19823,1512,3252,1179,2636,1179,1179,1179,1179,1793,1179,1179,1179,1179,1179,1235,1179,1179,1179,2782,1180,1180
104685,67298,1485,6689,5512,5336,1729,2210,2550,2713,1824,14451,1632,4440,3037,1495,3975,1179,1351,1179,1179,1179,1179,1179,1179,1179,1179,1179,1975,1180,2218,1179,1257,1179,1179,1181
76408,43318,1920,5357,2192,9716,1299,1201,864,1526,1313,10038,1421,8763,10190,1341,2890,1180,1591,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1237,1179,1179,1183,2169,1179,1182
91945,64303,1551,4340,5577,9779,1432,1570,1529,3161,1747,10640,1722,10780,3860,1464,4915,1179,1187,1179,1179,1179,1179,1179,1179,1179,1179,1179,2343,1180,1182,1179,1181,1192,1179,1183
94104,65485,1564,8064,3478,9859,1437,1935,2404,2745,1867,14278,1901,9365,15797,1437,4450,1179,1203,1179,1179,1179,1179,1577,1179,1179,1179,1179,2031,1216,1181,1179,1207,2133,1179,1184
95157,55402,1513,5896,2895,4477,1820,1677,1401,3603,1615,13563,1768,5446,5247,1354,6013,1915,1180,1179,1179,1180,1182,1180,1179,1181,1179,1179,1190,1181,2458,1179,1180,2221,1179,1185
103710,60034,1474,6345,2136,6364,1956,1251,1633,4710,1598,14009,1387,6434,2883,1488,4244,1181,1180,1179,1179,1181,1179,1179,1179,1179,1179,1179,1797,1179,1987,1179,1195,1180,1179,1186
106597,58995,1561,9939,5857,3298,1312,2738,842,2504,1528,11052,1677,6538,3561,1446,1978,1179,1425,1179,1179,1179,1179,1180,1179,1179,1179,1179,2038,1182,1186,1179,1179,1183,1179,1187
87523,50243,1519,1593,8445,7627,1428,1829,3699,2526,1672,11879,1465,7746,3283,1254,2940,1953,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1231,1727,1317,1179,1180,2173,1180,1188
89849,57718,1542,4905,2522,7527,1523,1900,878,2451,1621,16170,1598,7512,3657,1422,5904,1180,1180,1179,1179,1179,1179,1180,1179,1179,1179,1179,1180,1181,1242,1179,1221,1235,1180,1189
97348,67306,1569,4608,4319,6517,1328,1588,1947,3009,1544,13485,1435,7476,5178,1408,3530,1179,1353,1179,1179,1179,1179,1179,1179,1179,1179,1179,2281,1179,1535,1179,1179,1372,1179,1190
