"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
98898,46403,1331,6420,2390,2341,1171,1394,1087,2098,1461,10753,1301,5709,6486,1520,2678,1179,1229,1179,1179,1179,1179,1181,1179,1179,1179,1179,1238,1216,1357,1179,1179,2016,1179,1274
102868,64046,1472,5608,1675,7943,1530,1582,1283,2972,1523,11932,1289,13358,4677,1409,3879,1179,1443,1180,1179,1179,1179,1179,1179,1179,1179,1179,2089,1234,2388,1212,1220,1217,1179,1275
84856,49885,9060,5130,1853,6581,1125,1425,823,1292,1273,11257,2031,7907,4069,1362,1395,1179,1225,1179,1179,1179,1179,1179,1179,1179,1179,1179,1238,1183,1184,1709,1182,1257,1179,1276
88893,53878,1521,3926,1910,3837,1793,1179,1772,1136,1268,12118,1013,7736,9227,1385,3307,1279,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1755,1807,1179,1758,1980,1179,1277
88234,55058,1325,2815,1420,6416,2740,1627,1965,1359,1323,12650,1570,9158,3419,1363,2970,1179,1179,1243,1218,1179,1179,1179,1179,1179,1179,1183,1230,1181,2227,1182,1526,1241,1179,1278
96362,55198,3439,3807,3929,2931,1169,1593,1847,3390,1436,11268,1309,9701,5487,1303,1363,1892,1183,1179,1228,1179,1179,1179,1179,1179,1179,1191,1713,1259,1326,1179,1504,1848,1179,1279
91999,59280,1274,3229,2118,3410,1152,1463,1582,3861,1369,13439,1269,6770,6284,1358,3223,1179,1283,1179,1179,1179,1179,1179,1179,1179,1179,1179,2053,1181,1690,1179,1261,1286,1179,1280
89731,59649,13507,1358,1623,6191,2065,2573,3522,1522,1478,1597,1401,7594,3060,3998,985,1179,1424,1811,1179,1179,1179,1179,1179,1179,1179,1727,1250,1661,1363,1183,1281,1301,1179,1281
86032,41920,1335,4681,1330,3320,1337,1385,736,1756,1317,11006,1487,7761,4085,1322,1498,1179,1180,1188,1179,1179,1179,1179,1179,1179,1179,1179,1249,1245,1179,1179,1312,2431,1179,1282
91945,48134,1457,4741,1182,6021,1554,2082,3613,3163,1705,15324,1921,9252,3477,1318,3975,1181,1463,1179,1179,1179,1179,1179,1179,1179,1179,1179,1447,1770,1694,1179,2003,1893,1179,1283
101109,67988,1365,6348,2484,6812,1774,1920,954,6029,1550,15071,1732,10263,7377,1394,2756,1179,1179,1179,1179,1179,1179,1759,1179,1179,1179,1179,1241,1179,1187,1179,1886,2067,1179,1284
117168,62596,1582,5859,3979,10800,1346,1522,2132,3977,1660,15922,1733,14890,6406,1463,4707,1179,1235,1179,1179,1179,1179,1190,1179,1179,1179,1179,1195,1179,1402,1179,1551,1207,1179,1285
90159,51483,1407,3172,1262,4763,1363,1366,1217,2624,1431,12472,1612,6875,3618,1249,5152,1179,1192,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1211,1351,1179,1190,1181,1179,1286
78074,55083,1573,2831,7528,8699,1719,2229,2043,4488,1701,15292,2103,14320,3826,1363,3091,1179,2270,1180,1179,1179,1182,1179,1179,1179,1179,1179,1332,1941,1880,1179,1180,1311,1180,1287
95636,55864,1325,4153,2291,5242,1236,1728,1351,4697,1410,12547,1194,8300,4458,1535,2703,1179,2474,1179,1220,1179,1179,1179,1179,1179,1179,1182,1181,1288,2742,1179,1305,2583,1179,1288
88276,51349,1285,4180,2233,5161,1243,1077,1477,2478,1391,12338,1472,8605,2851,1394,3476,1403,1191,1179,1179,1179,1179,1179,1179,1179,1179,1179,1190,1185,1216,1179,1194,1959,1179,1289
103326,65906,1479,3339,2408,6892,1213,1499,2220,2728,1419,13750,1677,11456,8235,1426,2504,1179,1179,1181,1290,1179,1179,1179,1179,1179,1179,1184,1182,1182,2729,1194,1435,1200,1179,1290
80439,49911,3747,3361,1831,6032,1906,1596,1087,1327,1301,12510,1121,9092,3589,1315,2885,1181,1205,1179,1273,1179,1179,1179,1179,1179,1179,1221,1320,1361,1526,1179,1381,1187,1179,1291
96236,59508,1515,3178,2417,6622,1308,1545,1233,4005,1559,14727,1557,8721,6681,1419,3136,1179,1447,1179,1179,1179,1179,1179,1179,1179,1179,1179,1186,1189,1212,1179,1356,2339,1179,1292
87093,69166,1632,3108,2743,7234,1478,1549,577,4043,1569,11445,1213,13296,3570,1284,4072,1183,1190,1907,1179,1179,1179,1179,1179,1179,1179,1388,1342,1179,2502,1180,1191,2245,1180,1293
